chipset,form_factor,m2_interfaces,manufacturer,memory_max_gb,memory_ram_type,memory_slots,name,sata_ports,socket
Intel B860,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",Gigabyte,256,DDR5,4,Gigabyte B860 DS3H DDR5 ATX,4,LGA 1851
Intel Z590,ATX,"PCIe 4.0 x4, PCIe 3.0 x4, PCIe 3.0 x4",MSI,128,DDR4,4,MSI MAG Z590 TOMAHAWK WIFI LGA 1200 ATX Motherboard,6,LGA 1200
AMD B550,ATX,PCIe 4.0 x4,ASRock,128,DDR4,4,ASRock B550 Phantom Gaming 4/ac AM4 DDR4 ATX,4,AM4
Intel Z490,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,128,DDR4,4,Asus Z490 PRIME Z490M-PLUS DDR4 Micro ATX,5,LGA 1200
AMD X870,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,192,DDR5,4,Asus X870 PRIME X870-P-CSM DDR5 ATX,2,AM5
Intel B760,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4",ASUS,64,DDR4,2,ASUS B760M-AYW WIFI D4 II,4,LGA 1700
AMD A520,Micro ATX,PCIe 4.0 x4,Gigabyte,128,DDR4,4,Gigabyte A520M DS3H V2 DDR4 Micro ATX,0,AM4
AMD A320,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4",ASUS,64,DDR4,2,Asus A320 PRIME A320M-E AM4 DDR4 Micro ATX,4,AM4
Intel Z890,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",Gigabyte,256,DDR5,4,Gigabyte Z890 EAGLE DDR5 ATX,4,LGA 1851
Intel Z490,Mini-ITX,"PCIe 3.0 x4, SATA & PCIe 3.0 x4",ASUS,64,DDR4,2,ASUS ROG Strix Z490-I Gaming,4,LGA 1200
Intel B760,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",Gigabyte,192,DDR5,4,Gigabyte B760M GAMING X LGA1700 DDR5 Micro ATX,4,LGA 1700
Intel Z790,Mini-ITX,"PCIe 4.0 x4, PCIe 4.0 x4",ASRock,128,DDR5,2,ASRock Z790 M-ITX WIFI LGA1700 DDR5 Mini ITX,4,LGA 1700
Intel B760,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,128,DDR4,4,ASUS PRIME B760-PLUS D4-CSM,4,LGA 1700
AMD B650,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",Gigabyte,192,DDR5,4,Gigabyte B650M AORUS ELITE AM5 DDR5 Micro ATX,4,AM5
AMD A620,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASRock,128,DDR5,2,ASRock A620 AM-X AM5 DDR5 Micro ATX,0,AM5
Intel Z690,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",Gigabyte,128,DDR4,4,Gigabyte Z690 AORUS ELITE AX DDR4 V2,6,LGA 1700
Intel B760,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4",ASUS,192,DDR5,4,ASUS PRIME B760M-PLUS,4,LGA 1700
AMD A520,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4",ASRock,128,DDR4,4,ASRock A520 A520M Phantom Gaming 4 AM4 DDR4 Micro ATX,0,AM4
Intel B760,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",MSI,192,DDR5,4,MSI B760 PRO VC WIFI DDR5 ATX LGA1700,0,LGA 1700
AMD B350,ATX,"PCIe 4.0 x4, PCIe 4.0 x4",MSI,64,DDR4,4,MSI B350 TOMAHAWK AM4 DDR4 ATX,0,AM4
Intel B760,ATX,"PCIe 4.0 x4, PCIe 4.0 x4",MSI,128,DDR4,4,MSI B760 GAMING PLUS WIFI DDR4 ATX,4,LGA 1700
Intel B860,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",MSI,256,DDR5,4,MSI MAG B860 TOMAHAWK WIFI DDR5 ATX,0,LGA 1851
Intel B760,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",Gigabyte,256,DDR5,4,Gigabyte B760 GAMING X WIFI6E GEN5 DDR5 ATX,0,LGA 1700
AMD B550,ATX,"PCIe 4.0 x4, PCIe 4.0 x4",ASUS,128,DDR4,4,ASUS PRIME B550-PLUS,6,AM4
Intel Z890,Mini-ITX,"PCIe 4.0 x4, PCIe 4.0 x4",Gigabyte,128,DDR5,2,Gigabyte Z890I AORUS ULTRA LGA1851 DDR5 Mini ITX,0,LGA 1851
AMD B650,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",MSI,256,DDR5,4,MSI B650 PRO S AM5 DDR5 ATX,0,AM5
AMD X870,ATX,"PCIe 5.0 x4, PCIe 4.0 x4, PCIe 4.0 x2, PCIe 4.0 x4",MSI,256,DDR5,4,MSI X870 MAG TOMAHAWK WIFI AM5 DDR5 ATX,4,AM5
Intel Z690,EATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",EVGA,128,DDR5,4,EVGA Z690 CLASSIFIED LGA1700 DDR5 EATX,8,LGA 1700
Intel H810,Micro ATX,PCIe 4.0 x4,Gigabyte,128,DDR5,2,Gigabyte H810 H810M S2H LGA1851 DDR5 Micro ATX,4,LGA 1851
AMD B850,Mini-ITX,"PCIe 4.0 x4, PCIe 4.0 x4",MSI,128,DDR5,2,MSI B850 MPG B850I EDGE TI WIFI AM5 DDR5 Mini ITX,0,AM5
Intel H770,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,128,DDR4,4,Asus H770 PRIME H770-PLUS D4 DDR4 ATX,0,LGA 1700
Intel H510,Micro ATX,PCIe 4.0 x4,Gigabyte,64,DDR4,2,Gigabyte H510 M K LGA1200 DDR4 Micro ATX,2,LGA 1200
AMD B550,ATX,"PCIe 4.0 x4, PCIe 4.0 x4",MSI,128,DDR4,4,MSI B550 GAMING GEN3,0,AM4
AMD X870,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",Gigabyte,256,DDR5,4,Gigabyte X870 EAGLE WIFI7 AM5 DDR5 ATX,0,AM5
AMD X370,Mini-ITX,PCIe 3.0 x4,ASRock,32,DDR4,2,ASRock Fatal1ty X370 Gaming-ITX/ac,4,AM4
AMD B850,Micro ATX,"PCIe 5.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,256,DDR5,4,ASUS PRIME B850M-A WIFI,4,AM5
Intel Z490,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASRock,128,DDR4,4,ASRock Z490 Pro4 LGA1200 DDR4 ATX,6,LGA 1200
AMD B450,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",MSI,128,DDR4,4,MSI B450 GAMING PRO CARBON MAX WIFI DDR4 ATX,0,AM4
Intel H410,Micro ATX,PCIe4.0x4,ASUS,64,DDR4,4,ASUSPrimeH410M-A/CSM,6,LGA 1200
AMD X470,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASRock,64,DDR4,4,ASRock X470 D4U DDR4 Micro ATX,8,AM4
Intel Z690,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",Gigabyte,192,DDR5,4,Gigabyte Z690 AORUS ELITE LGA1700 DDR5 ATX,6,LGA 1700
AMD A320,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4",ASRock,32,DDR4,2,ASRock A320 M-DGS AM4 DDR4 Micro ATX,4,AM4
AMD B650,Micro ATX,"PCIe 5.0 x4, PCIe 4.0 x4",ASUS,96,DDR5,2,ASUS B650M-AYW WIFI,4,AM5
Intel B660,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",Gigabyte,64,DDR4,2,Gigabyte B660 M D2H LGA1700 DDR4 Micro ATX,4,LGA 1700
AMD X370,ATX,"PCIe 4.0 x4, PCIe 4.0 x4",Gigabyte,64,DDR4,4,Gigabyte X370 GA-AX370-Gaming K3 AM4 DDR4 ATX,8,AM4
AMD B850,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",MSI,128,DDR5,2,MSI B850 PRO M-G AM5 DDR5 Micro ATX,0,AM5
Intel B560,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASRock,128,DDR4,4,ASRock B560 M-C LGA1200 DDR4 Micro ATX,0,LGA 1200
Intel B860,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASRock,256,DDR5,4,ASRock B860 Pro-A LGA1851 DDR5 ATX,0,LGA 1851
AMD B650,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,128,DDR5,4,Asus TUF GAMING B650-PLUS WIFI DDR5 ATX,0,AM5
AMD B850,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,256,DDR5,4,ASUS PRIME B850-PLUS,0,AM5
Intel Z490,Micro ATX,"PCIe 3.0 x4, PCIe 3.0 x2, SATA",Gigabyte,128,DDR4,4,Gigabyte Z490M Gaming X LGA 1200 Micro-ATX Motherboard,6,LGA 1200
Intel H810,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4",ASRock,128,DDR5,2,ASRock H810 M-X WiFi DDR5 Micro ATX,4,LGA 1851
Intel Z790,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",Gigabyte,256,DDR5,4,Gigabyte Z790M AORUS ELITE AX ICE DDR5 Micro ATX,6,LGA 1700
AMD A320,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4",Biostar,32,DDR4,2,Biostar AMD A320 A32M2 AM4 DDR4 Micro ATX,4,AM4
Intel B760,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASRock,128,DDR4,4,ASRock B760M Pro-A D4 LGA1700 DDR4 Micro ATX,4,LGA 1700
AMD B850,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",Gigabyte,128,DDR5,2,Gigabyte B850M FORCE AM5 DDR5 Micro ATX,0,AM5
Intel B560,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASRock,64,DDR4,2,ASRock B560 M-HDV DDR4 Micro ATX,0,LGA 1200
AMD B840,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,256,DDR5,4,Asus B840M MAX GAMING AX AM5 DDR5 Micro ATX,0,AM5
AMD B650E,Micro ATX,"PCIe 4.0 x4, PCIe 5.0 x4, PCIe 4.0 x4",ASUS,256,DDR5,4,ASUS PRIME B650EM-A,4,AM5
Intel H810,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4",ASUS,128,DDR5,2,Asus H810M AYW GAMING WIFI LGA1851 DDR5 Micro ATX,4,LGA 1851
Intel H610,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,96,DDR5,2,Asus H610 PRIME H610M-E-CSM LGA1700 DDR5 Micro ATX,4,LGA 1700
Intel B660,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,128,DDR4,4,Asus B660 PRIME PLUS D4 DDR4 ATX,0,LGA 1700
Intel B560,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,128,DDR4,4,Asus B560-A ROG STRIX GAMING WIFI DDR4 ATX,6,LGA 1200
AMD X670,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",MSI,192,DDR5,4,MSI X670 PRO X670-P WIFI AM5 DDR5 ATX,0,AM5
Intel Z490,Mini-ITX,"PCIe 4.0 x4, PCIe 4.0 x4",ASRock,64,DDR4,2,ASRock Z490 Phantom Gaming-ITX/TB3 DDR4 Mini ITX,4,LGA 1200
AMD A320,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4",ASRock,32,DDR4,2,ASRock A320 M/ac DDR4 Micro ATX,0,AM4
Intel B760,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASRock,192,DDR5,4,ASRock B760M PG Lightning LGA1700 DDR5 Micro ATX,0,LGA 1700
Intel B660,Micro ATX,"PCIe4.0x4, PCIe4.0x4",ASUS,128,DDR4,4,ASUSPRIMEB660M-AD4,4,LGA 1700
AMD B650,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,192,DDR5,4,ASUS TUF GAMING B650M-E,0,AM5
Intel H610,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4",ASUS,64,DDR4,2,Asus H610 PRIME H610M-D D4-CSM DDR4 Micro ATX,4,LGA 1700
Intel B460,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4",ASUS,64,DDR4,2,Asus PRIME LGA1200 B460M-K DDR4 Micro ATX,6,LGA 1200
Intel B760,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,192,DDR5,4,ASUS TUF GAMING B760M-PLUS II,0,LGA 1700
AMD X570,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASRock,128,DDR4,4,ASRock X570 Extreme4 WiFi ax DDR4 ATX,8,AM4
AMD B550,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",MSI,128,DDR4,4,MSI MPG B550 GAMING CARBON WIFI,0,AM4
AMD X670E,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,192,DDR5,4,Asus X670E ROG STRIX X670E-F GAMING WIFI DDR5 ATX,0,AM5
Intel Z690,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASRock,128,DDR4,4,ASRock Z690M Phantom Gaming 4 DDR4 Micro ATX,4,LGA 1700
AMD B650,Micro ATX,"PCIe 5.0 x4, PCIe 4.0 x4",ASUS,96,DDR5,2,ASUS B650M-AYW WIFI-CSM,4,AM5
Intel Z590,EATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",EVGA,64,DDR4,2,EVGA Z590 DARK DDR4 EATX,6,LGA 1200
Intel B660,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",MSI,128,DDR4,4,MSI B660M MAG MORTAR MAX WIFI DDR4 Micro ATX,6,LGA 1700
AMD B550,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4",Gigabyte,64,DDR4,2,Gigabyte B550M S2H DDR4 Micro ATX,0,AM4
Intel Z790,ATX,"PCIe 5.0 x4, PCIe 5.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,96,DDR5,2,Asus Z790 ROG MAXIMUS APEX ENCORE LGA1700 DDR5 ATX,4,LGA 1700
AMD X470,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASRock,64,DDR4,4,ASRock X470 Taichi Ultimate DDR4 ATX,8,AM4
Intel Z490,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASRock,128,DDR4,4,ASRock Z490M Pro4 DDR4 Micro ATX,4,LGA 1200
AMD B850,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASRock,256,DDR5,4,ASRock B850 Steel Legend WiFi AM5 DDR5 ATX,0,AM5
Intel B860,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4",Gigabyte,128,DDR5,2,Gigabyte B860M POWER LGA1851 DDR5 Micro ATX,4,LGA 1851
Intel H510,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASRock,64,DDR4,2,ASRock H510 M/ac DDR4 Micro ATX,0,LGA 1200
AMD B650,Micro ATX,"PCIe 5.0 x4, PCIe 4.0 x4",ASUS,192,DDR5,4,ASUS PRIME B650M-A WIFI II,4,AM5
Intel H610,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4",ASUS,64,DDR4,2,Asus H610 PRIME H610M-K D4 LGA1700 DDR4 Micro ATX,0,LGA 1700
Intel B760,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4",Gigabyte,96,DDR5,2,Gigabyte B760M E DDR5 Micro ATX,4,LGA 1700
AMD X570,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",MSI,64,DDR4,2,MSI X570S MEG UNIFY-X MAX AMD AM4 ATX Motherboard,6,AM4
AMD B650,ATX,"PCIe 4.0 x4, PCIe 4.0 x4",MSI,256,DDR5,4,MSI PRO B650-P WIFI,6,AM5
AMD B450,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4",MSI,64,DDR4,2,MSI B450M GAMING PLUS AM4 DDR4 Micro ATX,0,AM4
Intel H470,ATX,"Gen3 x4, SATA3",ASRock,128,DDR4,4,ASROCK H470 STEEL LEGEND,6,LGA 1200
Intel Z890,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,192,DDR5,4,Asus Z890 PRIME Z890M-PLUS WIFI-CSM DDR5 Micro ATX LGA1851,6,LGA 1851
Intel Z790,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",MSI,192,DDR5,4,MSI MPG Z790 CARBON WIFI II DDR5 ATX,0,LGA 1700
AMD B650,Micro ATX,"PCIe Gen5x4, PCIe Gen4x4, PCIe Gen4x2",ASRock,192,DDR5,4,ASRock B650M Pro RS WiFi AM5 AMD B650 SATA 6Gb/s Micro ATX Motherboard,4,AM5
Intel Z690,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",Gigabyte,192,DDR4,4,Gigabyte Z690 AERO G DDR4,6,LGA 1700
AMD A520,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4",MSI,64,DDR4,2,MSI A520 M PRO-VH AM4 DDR4 Micro ATX,4,AM4
Intel Z590,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,128,DDR4,4,Asus Z590 ROG MAXIMUS XIII HERO LGA1200 DDR4 ATX,0,LGA 1200
Intel H470,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4",ASUS,64,DDR4,2,Asus H510 PRIME M-E R2.0 DDR4 Micro ATX,4,LGA 1200
Intel Z790,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,192,DDR5,4,ASUS TUF GAMING Z790-BTF WIFI,0,LGA 1700
Intel Z890,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASRock,256,DDR5,4,ASRock Z890 Pro RS WiFi,4,LGA 1851
AMD B840,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4",Gigabyte,256,DDR5,4,Gigabyte B840M DS3H AM5 DDR5 Micro ATX,0,AM5
AMD X670,EATX,"PCIe 5.0 x4, PCIe 5.0 x4, PCIe 5.0 x4, PCIe 4.0 x4, PCIe 5.0 x4",ASUS,192,DDR5,4,Asus ROG CROSSHAIR X670E EXTREME EATX AM5,6,AM5
Intel B760,Mini-ITX,"PCIe 4.0 x4, PCIe 4.0 x4",ASUS,96,DDR5,2,ASUS ROG STRIX B760-I GAMING WIFI,4,LGA 1700
Intel Z790,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",MSI,192,DDR5,4,MSI Z790 GAMING PRO WIFI LGA1700 DDR5 ATX,0,LGA 1700
AMD B850,Micro ATX,"PCIe 5.0 x4, PCIe 4.0 x4",ASUS,128,DDR5,2,ASUS B850M-E AYW GAMING WIFI,4,AM5
AMD B450,Micro ATX,"PCIe Gen3 x4 32Gb/s, SATA3 6.0 Gb/s",ASRock,64,DDR4,4,ASRock B450M Steel Legend,4,AM4
Intel H670,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,128,DDR4,4,ASUS TUF Gaming H670-PRO WiFi D4,4,LGA 1700
Intel B760,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4",ASUS,96,DDR5,2,ASUS B760M-AYW PRO WIFI-CSM,2,LGA 1700
Intel H610,Micro ATX,,ASRock,64,DDR4,2,ASRock H610 M-HDV LGA1700 DDR4 Micro ATX,0,LGA 1700
Intel Z790,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,192,DDR5,4,Asus Z790 GAMING WIFI7 DDR5 ATX,0,LGA 1700
Intel Z690,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",Gigabyte,192,DDR5,4,Gigabyte Z690 AERO G LGA1700 DDR5 ATX,6,LGA 1700
AMD A620,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASRock,96,DDR5,2,ASRock A620 HDV/M.2 AM5 DDR5 Micro ATX,0,AM5
Intel Q670,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,128,DDR5,4,Asus Q670 Pro Q670M-C-CSM DDR5 Micro ATX,6,LGA 1700
AMD B450,ATX,"PCIe 4.0 x4, PCIe 4.0 x4",MSI,64,DDR4,4,MSI B450 TOMAHAWK AM4 DDR4 ATX,0,AM4
AMD X370,ATX,"PCIe 4.0 x4, PCIe 4.0 x4",ASUS,64,DDR4,4,Asus X370 PRIME-PRO AM4 DDR4 ATX,0,AM4
Intel B760,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",Gigabyte,192,DDR5,4,Gigabyte B760M AORUS PRO AX DDR5 Micro ATX,4,LGA 1700
AMD B350,ATX,"PCIe 4.0 x4, PCIe 4.0 x4",Gigabyte,64,DDR4,4,Gigabyte B350 GA-Gaming DDR4 ATX,6,AM4
AMD X470,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,64,DDR4,4,Asus X470 ROG STRIX X470-F Gaming DDR4 ATX,0,AM4
Intel B460,ATX,"PCIe 3.0 x4, SATA, PCIE 3.0 x4",ASUS,128,DDR4,4,ASUS TUF GAMING B460-PRO Wi-Fi LGA 1200 ATX Motherboard,6,LGA 1200
AMD X570,EATX,,MSI,128,DDR4,4,MEG X570 GODLIKE,6,AM4
AMD X670E,EATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",MSI,192,DDR5,4,MSI X670E MEG GODLIKE AM5 DDR5 EATX,0,AM5
AMD X570,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,128,DDR4,4,Asus X570 PRIME-P AM4 DDR4 ATX,0,AM4
Intel Z590,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",Gigabyte,128,DDR4,4,Gigabyte Z590 UD DDR4 ATX,5,LGA 1200
Intel Z890,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASRock,256,DDR5,4,ASRock Z890 Taichi,4,LGA 1851
AMD X570,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,128,DDR4,4,Asus ROG STRIX X570-E GAMING WIFI II DDR4 ATX,0,AM4
Intel Z890,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",Gigabyte,256,DDR5,4,Gigabyte Z890 AORUS MASTER DDR5 ATX,0,LGA 1851
Intel Z890,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",Gigabyte,256,DDR5,4,Gigabyte Z890M GAMING X DDR5 Micro ATX,4,LGA 1851
Intel Z490,ATX,"PCIe 4.0 x4, PCIe 4.0 x4",ASRock,128,DDR4,4,ASRock Z490 Phantom Gaming 4/ac DDR4 ATX,6,LGA 1200
