chipset,form_factor,m2_interfaces,manufacturer,memory_max_gb,memory_ram_type,memory_slots,name,sata_ports,socket
Intel Z590,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",MSI,128,DDR4,4,MSI Z590 MPG Z590M GAMING EDGE WIFI LGA1200 DDR4 Micro ATX,6,LGA 1200
AMD B850,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",MSI,256,DDR5,4,MSI B850M MAG MORTAR WIFI AM5 DDR5 Micro ATX,4,AM5
Intel H610,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4",ASUS,64,DDR4,2,Asus H610 PRIME M-D D4 LGA1700 DDR4 Micro ATX,4,LGA 1700
Intel Z590,Mini-ITX,"PCIe 4.0 x4, PCIe 3.0 x4",ASRock,64,DDR4,2,ASRock Z590M-ITX/ax LGA 1200 Mini ITX Intel Motherboard,4,LGA 1200
Intel Z590,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASRock,128,DDR4,4,ASRock Z590 Extreme LGA1200 DDR4 ATX,6,LGA 1200
AMD X470,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASRock,64,DDR4,4,ASRock X470 Taichi ATX AM4,6,AM4
AMD X370,ATX,"PCIe 4.0 x4, PCIe 4.0 x4",Gigabyte,64,DDR4,4,Gigabyte AMD X370 GA-AX370-GAMING 5 DDR4 ATX,8,AM4
Intel H610,Mini-ITX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,64,DDR4,2,Asus H610 PRIME H610I-PLUS D4-CSM DDR4 Mini ITX,0,LGA 1700
Intel B460,Micro ATX,"SATA and PCIe x4/x2, SATA and PCIe x4/x2",Gigabyte,128,DDR4,4,B460M D3H,6,LGA 1200
AMD B550,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",Biostar,128,DDR4,4,Biostar B550 MXC PRO DDR4 Micro ATX,8,AM4
AMD B350,Mini-ITX,"PCIe 4.0 x4, PCIe 4.0 x4",MSI,32,DDR4,2,MSI B350I PRO AC AM4 DDR4 Mini ITX,4,AM4
AMD X570,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",Colorful,128,DDR4,4,Colorful X570M CVN GAMING FROZEN V14 AM4 DDR4 Micro ATX,6,AM4
Intel Z590,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,128,DDR4,4,ASUS TUF Gaming Z590-PLUS WIFI DDR4 ATX,0,LGA 1200
AMD B850,Mini-ITX,"PCIe 5.0 x4, PCIe 5.0 x4",ASUS,128,DDR5,2,ASUS ROG Strix B850-I Gaming WiFi7 W,2,AM5
Intel Z690,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASRock,192,DDR5,4,ASRock Z690M PG RIPTIDE/D5 DDR5 Micro ATX,4,LGA 1700
AMD B350,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4",ASRock,32,DDR4,2,ASRock B350 AB350M-HDV DDR4 Micro ATX,4,AM4
Intel B760,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,192,DDR5,4,ASUS TUF GAMING B760M-PLUS WIFI II,0,LGA 1700
AMD X470,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",MSI,64,DDR4,4,MSI X470 GAMING M7 AC AM4 DDR4 ATX,6,AM4
Intel Z890,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,256,DDR5,4,Asus Z890 ROG MAXIMUS HERO BTF LGA1851 DDR5 ATX,0,LGA 1851
AMD B550,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,128,DDR4,4,ASUS TUF GAMING B550M-E,6,AM4
AMD B650,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASUS,192,DDR5,4,Asus TUF GAMING B650-E WIFI,0,AM5
Intel Z890,Micro ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",ASRock,256,DDR5,4,ASRock Z890M Riptide WiFi DDR5 Micro ATX,0,LGA 1851
Intel Z690,ATX,"PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4, PCIe 4.0 x4",MSI,96,DDR5,2,MSI Z690 MEG UNIFY-X DDR5 ATX,6,LGA 1700
