cache_l2,cache_l3,category,clock_base,clock_boost,clock_efficiency_base,clock_efficiency_boost,cores_efficiency,cores_performance,cores_total,integrated_graphics,manufacturer,memory_channels,memory_max_gb,memory_types,microarchitecture,name,opendb_id,part_id,release_year,series,socket,tdp,threads,variant
4,40,cpu,2.1,3,,,,16,16,None,Intel,,,,Broadwell,Intel Xeon E5 2683 V4 2.1 GHz 16-Core LGA2011-3,08c118d7-15bd-4e7c-b18e-bf71d27d15ef,cpu_0035,,Intel Xeon E5,LGA 2011-3,120,32,
1,8,cpu,3.7,4.4,,,,4,4,None,Intel,,,,Coffee Lake Refresh,Intel Core i3 9320 3.7 GHz 4-Core LGA1151 OEM/Tray,08fa6fb3-63f5-4515-afca-3840908aea49,cpu_0036,,Intel Core i3,LGA 1151,62,4,
8,32,cpu,3.8,5.5,,,,,8,AMD Radeon Graphics,AMD,2,,DDR5,Zen 5,AMD Ryzen 7 9700X 3.8 GHz 8-Core AM5,09086e21-4979-41ba-a451-3f8bb1c9cc55,cpu_0037,2024,AMD Ryzen 7 9000,AM5,65,16,9700X
64,256,cpu,3.2,5.4,,,,,64,None,AMD,8,,DDR5,Zen 5,AMD Ryzen Threadripper PRO 9985WX,0991a38e-8dca-4222-b693-acffcb1a4a0a,cpu_0038,2025,AMD Ryzen Threadripper PRO 9000 WX-Series,sTR5,350,128,Pro 9985WX
2,20,cpu,2.2,3,,,,8,8,None,Intel,,,,Sandy Bridge,Intel Xeon E5 2660 2.2 GHz 8-Core LGA2011 OEM/Tray,09a3f61e-39c4-4eb3-96e8-28c7b8d344d2,cpu_0039,,Intel Xeon E5,LGA 2011,95,16,
8,11,cpu,3.6,4.5,,,,8,8,None,Intel,,,,Skylake,Intel Core i7 7820X 3.6 GHz 8-Core LGA2066,09c6c21d-b450-4656-b8f7-11f31d20d131,cpu_0040,,Intel Core i7,LGA 2066,140,16,
1,8,cpu,4,4.4,,,,4,4,Intel HD Graphics 4600,Intel,,,,Haswell Refresh,Intel Core i7 4790K 4 GHz 4-Core LGA1150 OEM/Tray,09e91f36-20fd-4461-a117-37ef0872fc63,cpu_0041,,Intel Core i7,LGA 1150,88,8,
8,32,cpu,3.8,5.3,,,,8,8,AMD Radeon,AMD,,,DDR5,Zen 4,AMD EPYC EPYC 4344P 3.8 GHz 8-Core AM5,0a10243d-8440-4921-8e3f-cf459674effb,cpu_0042,,AMD EPYC,AM5,65,16,
5,12,cpu,3.3,4.5,,,,6,6,Intel HD Graphics P630,Intel,,,,Coffee Lake,Intel Xeon E 2126G 3.3 GHz 6-Core LGA1151 OEM/Tray,0a93e420-238a-459b-a491-65f1b2e76422,cpu_0043,,Intel Xeon E,LGA 1151,80,6,
5,15,cpu,3.6,3.8,,,,6,6,None,Intel,,,,Broadwell,Intel Core i7 6850K 3.6 GHz 6-Core LGA2011-3 OEM/Tray,0abfd960-5cb9-4d0b-9b32-9a5f5a48b083,cpu_0044,,Intel Core i7,LGA 2011-3,140,12,
